,pid,grp,duration
461,461,Begin,1
462,462,Begin,1
462,462,Chile,4
462,462,Begin,1
463,463,Begin,1
463,463,Mexico,4
463,463,Begin,1
464,464,Begin,1
464,464,Brazil,4
464,464,Begin,1
465,465,Begin,1
465,465,Peru,4
465,465,Begin,1
466,466,Begin,1
466,466,Chile,4
466,466,Begin,1
467,467,Begin,1
467,467,Mexico,4
467,467,Begin,1
468,468,Begin,1
468,468,US,4
468,468,Begin,1
469,469,Begin,1
469,469,Chile,4
469,469,Begin,1
470,470,Begin,1
470,470,Peru,4
470,470,Begin,1
471,471,Begin,1
471,471,Peru,4
471,471,Begin,1
472,472,Begin,1
472,472,Colombia,4
472,472,Begin,1
473,473,Begin,1
473,473,Mexico,4
473,473,Begin,1
474,474,Begin,1
474,474,Peru,4
474,474,Begin,1
475,475,Begin,1
475,475,US,4
475,475,Begin,1
476,476,Begin,1
476,476,Other,4
476,476,Begin,1
477,477,Begin,1
477,477,Colombia,4
477,477,Begin,1
478,478,Begin,1
478,478,Peru,4
478,478,Begin,1
479,479,Begin,1
479,479,US,4
479,479,Begin,1
480,480,Begin,1
480,480,Peru,4
480,480,Begin,1
481,481,Begin,1
481,481,US,4
481,481,Begin,1
482,482,Begin,1
482,482,Peru,4
482,482,Begin,1
483,483,Begin,1
483,483,Other,4
483,483,Begin,1
484,484,Begin,1
484,484,Other,4
484,484,Begin,1
485,485,Begin,1
485,485,Mexico,4
485,485,Begin,1
486,486,Begin,1
486,486,Peru,4
486,486,Begin,1
487,487,Begin,1
487,487,Mexico,4
487,487,Begin,1
488,488,Begin,1
488,488,Other,4
488,488,Begin,1
489,489,Begin,1
489,489,Mexico,4
489,489,Begin,1
490,490,Begin,1
490,490,Chile,4
490,490,Begin,1
491,491,Begin,1
491,491,Mexico,4
491,491,Begin,1
492,492,Begin,1
492,492,Brazil,4
492,492,Begin,1
493,493,Begin,1
493,493,US,4
493,493,Begin,1
494,494,Begin,1
494,494,Other,4
494,494,Begin,1
495,495,Begin,1
495,495,Mexico,4
495,495,Begin,1
496,496,Begin,1
496,496,US,4
496,496,Begin,1
497,497,Begin,1
497,497,Peru,4
497,497,Begin,1
498,498,Begin,1
498,498,Peru,4
498,498,Begin,1
499,499,Begin,1
499,499,Chile,4
499,499,Begin,1
