,pid,grp,duration
107,107,Begin,1
107,107,Other,4
107,107,Begin,1
108,108,Begin,1
108,108,Other,4
108,108,Begin,1
109,109,Begin,1
109,109,US,4
109,109,Begin,1
110,110,Begin,1
110,110,Chile,4
110,110,Begin,1
111,111,Begin,1
111,111,Peru,4
111,111,Begin,1
112,112,Begin,1
112,112,Brazil,4
112,112,Begin,1
113,113,Begin,1
113,113,Mexico,4
113,113,Begin,1
114,114,Begin,1
114,114,Chile,4
114,114,Begin,1
115,115,Begin,1
115,115,US,4
115,115,Begin,1
116,116,Begin,1
116,116,Peru,4
116,116,Begin,1
117,117,Begin,1
117,117,Peru,4
117,117,Begin,1
118,118,Begin,1
118,118,Peru,4
118,118,Begin,1
119,119,Begin,1
119,119,Other,4
119,119,Begin,1
120,120,Begin,1
120,120,Mexico,4
120,120,Begin,1
121,121,Begin,1
121,121,Peru,4
121,121,Begin,1
122,122,Begin,1
122,122,Mexico,4
122,122,Begin,1
123,123,Begin,1
123,123,Mexico,4
123,123,Begin,1
124,124,Begin,1
124,124,Mexico,4
124,124,Begin,1
125,125,Begin,1
125,125,Peru,4
125,125,Begin,1
126,126,Begin,1
126,126,Mexico,4
126,126,Begin,1
127,127,Begin,1
127,127,Other,4
127,127,Begin,1
128,128,Begin,1
128,128,Other,4
128,128,Begin,1
129,129,Begin,1
129,129,Other,4
129,129,Begin,1
130,130,Begin,1
130,130,US,4
130,130,Begin,1
131,131,Begin,1
131,131,Colombia,4
131,131,Begin,1
132,132,Begin,1
132,132,Peru,4
132,132,Begin,1
133,133,Begin,1
133,133,Brazil,4
133,133,Begin,1
134,134,Begin,1
134,134,Peru,4
134,134,Begin,1
135,135,Begin,1
135,135,Colombia,4
135,135,Begin,1
136,136,Begin,1
136,136,Mexico,4
136,136,Begin,1
137,137,Begin,1
137,137,Mexico,4
137,137,Begin,1
138,138,Begin,1
138,138,Colombia,4
138,138,Begin,1
139,139,Begin,1
139,139,Peru,4
139,139,Begin,1
140,140,Begin,1
140,140,Peru,4
140,140,Begin,1
141,141,Begin,1
141,141,Brazil,4
141,141,Begin,1
142,142,Begin,1
142,142,Mexico,4
142,142,Begin,1
143,143,Begin,1
143,143,Other,4
143,143,Begin,1
144,144,Begin,1
144,144,Chile,4
144,144,Begin,1
145,145,Begin,1
145,145,Chile,4
145,145,Begin,1
146,146,Begin,1
146,146,Other,4
146,146,Begin,1
147,147,Begin,1
147,147,Other,4
147,147,Begin,1
148,148,Begin,1
148,148,Mexico,4
148,148,Begin,1
149,149,Begin,1
149,149,Other,4
149,149,Begin,1
150,150,Begin,1
150,150,Peru,4
150,150,Begin,1
151,151,Begin,1
151,151,Other,4
151,151,Begin,1
152,152,Begin,1
152,152,Mexico,4
152,152,Begin,1
153,153,Begin,1
153,153,Peru,4
153,153,Begin,1
154,154,Begin,1
154,154,US,4
154,154,Begin,1
155,155,Begin,1
155,155,US,4
155,155,Begin,1
156,156,Begin,1
156,156,Peru,4
156,156,Begin,1
157,157,Begin,1
157,157,Mexico,4
157,157,Begin,1
158,158,Begin,1
158,158,US,4
158,158,Begin,1
159,159,Begin,1
159,159,Other,4
159,159,Begin,1
160,160,Begin,1
160,160,Peru,4
160,160,Begin,1
161,161,Begin,1
161,161,Mexico,4
